lesson_key,group,title,url
126,R,Set up R,/set-up-r/
121,Stats,Variables,/variables/
101,R,swirl Lesson 1 - Basic Building Blocks,/basic-building-blocks/
102,R,swirl Lesson 2 - Workspace and Files,/workspace-and-files/
103,R,swirl Lesson 3 - Sequences of Numbers,/sequences-of-numbers/
104,R,swirl Lesson 4 - Vectors,/vectors/
105,R,swirl Lesson 5 - Missing Values,/missing-values/
106,R,swirl Lesson 6 - Subsetting Vectors,/subsetting-vectors/
107,R,swirl Lesson 7 - Matrices and Data Frames,/matrices-and-data-frames/
108,R,swirl Lesson 8 - Logic,/logic/
109,R,swirl Lesson 9 - Functions,/functions/
110,R,swirl Lesson 10 - lapply and sapply,/lapply and sapply/
115,R,swirl Lesson 11 - vapply and tapply,/vapply-and-tapply/
116,R,swirl Lesson 12 - Looking at Data,/looking-at-data/
117,R,swirl Lesson 13 - Simulation,/simulation/
118,R,swirl Lesson 14 - Dates and Times,/dates-and-times/
119,R,swirl Lesson 15 -  Base Graphics,/base-graphics/
122,Stats,swirl - Lesson 2 - Exploratory Graphs,/exploratory-graphs/
129,Tidyverse,dplyr,/dplyr/ 
127,Tidyverse,Piping and Summarizing,/piping-and-summarizing/
130,Stats,Correlation and Linear Regression,/correlation-and-linear-regression/
113,Stats,Exact Test of Goodness-of-Fit,/exact-test-of-goodness-of-fit/
130,Stats,Chi Square Test of Goodness-of-Fit,/chi-square-test-of-goodness-of-fit/
129,Stats,One-Sample t Test,/one-sample-t-test/
128,Stats,Two-Sample t Test,/two-sample-t-test/
120,Stats,Introduction to Bayes's Theorem,/introduction-to-bayes-theorem/
111,Stats,One-Way ANOVA,/one-way-anova/
114,Stats,Kruskal-Wallis Test,/kruskal-wallis/
